"category","name","path","extension","size","size_human","last_write"
"30_AI与知识项目","AI 人像提示词的本质.docx","E:\临时项目\AI 人像提示词的本质.docx",".docx","223648","218.41 KB","2026-05-05 13:15:55"
"30_AI与知识项目","build_ai_portrait_docx.py","E:\临时项目\build_ai_portrait_docx.py",".py","5750","5.62 KB","2026-05-05 11:56:44"
"30_AI与知识项目","build_geo_growth_knowledge.py","E:\临时项目\build_geo_growth_knowledge.py",".py","17798","17.38 KB","2026-04-29 11:55:30"
"50_文档与资料处理","build_info2780_docx.py","E:\临时项目\build_info2780_docx.py",".py","13409","13.09 KB","2026-05-01 14:28:50"
"50_文档与资料处理","ccman调用方式.md","E:\临时项目\ccman调用方式.md",".md","1341","1.31 KB","2026-05-20 13:43:47"
"70_脚本与单文件工具","classify_live_docs.py","E:\临时项目\classify_live_docs.py",".py","3611","3.53 KB","2026-04-30 02:32:48"
"50_文档与资料处理","classify_md_by_topic.ps1","E:\临时项目\classify_md_by_topic.ps1",".ps1","13108","12.80 KB","2026-05-06 13:22:33"
"50_文档与资料处理","clean_xuehui_docx.py","E:\临时项目\clean_xuehui_docx.py",".py","14280","13.95 KB","2026-04-29 01:52:31"
"10_工具与运行环境","Codex-操作日志.md","E:\临时项目\Codex-操作日志.md",".md","232356","226.91 KB","2026-05-24 02:15:18"
"30_AI与知识项目","collect_evolink_portrait_prompt_methods.js","E:\临时项目\collect_evolink_portrait_prompt_methods.js",".js","16038","15.66 KB","2026-05-09 13:37:22"
"30_AI与知识项目","collect_meigen_portrait_prompts.js","E:\临时项目\collect_meigen_portrait_prompts.js",".js","23227","22.68 KB","2026-05-06 02:05:43"
"50_文档与资料处理","convert_books_to_docx.py","E:\临时项目\convert_books_to_docx.py",".py","5500","5.37 KB","2026-05-04 07:05:01"
"50_文档与资料处理","crawl_cb_to_md.py","E:\临时项目\crawl_cb_to_md.py",".py","15059","14.71 KB","2026-04-16 12:15:16"
"50_文档与资料处理","ebook-list.json.zip","E:\临时项目\ebook-list.json.zip",".zip","759495","741.69 KB","2026-04-29 23:09:10"
"50_文档与资料处理","export_forms_full.js","E:\临时项目\export_forms_full.js",".js","4622","4.51 KB","2026-04-22 00:48:46"
"50_文档与资料处理","extract_live_raw_md.py","E:\临时项目\extract_live_raw_md.py",".py","1302","1.27 KB","2026-04-30 02:34:23"
"70_脚本与单文件工具","extract_selected_terms.py","E:\临时项目\extract_selected_terms.py",".py","810","810 B","2026-04-30 02:34:01"
"50_文档与资料处理","form_full_export.md","E:\临时项目\form_full_export.md",".md","25973","25.36 KB","2026-04-22 00:51:41"
"50_文档与资料处理","form_prefetch.json","E:\临时项目\form_prefetch.json",".json","127546","124.56 KB","2026-04-22 00:51:24"
"50_文档与资料处理","form_prefetch_raw.json","E:\临时项目\form_prefetch_raw.json",".json","127546","124.56 KB","2026-04-22 00:51:24"
"50_文档与资料处理","four-shrimp-command-rules.md","E:\临时项目\four-shrimp-command-rules.md",".md","8354","8.16 KB","2026-04-26 01:46:15"
"90_备份临时与样例","GEOFlow-fork.zip","E:\临时项目\GEOFlow-fork.zip",".zip","4088343","3.90 MB","2026-05-24 11:26:17"
"30_AI与知识项目","GEOFlow-main.zip","E:\临时项目\GEOFlow-main.zip",".zip","4088343","3.90 MB","2026-05-24 11:18:59"
"90_备份临时与样例","geo-growth-clean-utf8.zip","E:\临时项目\geo-growth-clean-utf8.zip",".zip","360982","352.52 KB","2026-04-29 11:53:43"
"40_金融与回测","gmgn_lana_combo_round6_20260525_task.md","E:\临时项目\gmgn_lana_combo_round6_20260525_task.md",".md","4097","4.00 KB","2026-05-25 01:33:45"
"30_AI与知识项目","gmgn_lana_entry_repair_20260525_task.md","E:\临时项目\gmgn_lana_entry_repair_20260525_task.md",".md","4235","4.14 KB","2026-05-25 01:05:37"
"30_AI与知识项目","gmgn_lana_exit_repair_20260525_task.md","E:\临时项目\gmgn_lana_exit_repair_20260525_task.md",".md","3748","3.66 KB","2026-05-25 00:49:19"
"40_金融与回测","gmgn_lana_freqtrade_backtest_20260524_task.md","E:\临时项目\gmgn_lana_freqtrade_backtest_20260524_task.md",".md","4060","3.96 KB","2026-05-25 00:14:26"
"40_金融与回测","gmgn_lana_regime_round5_20260525_task.md","E:\临时项目\gmgn_lana_regime_round5_20260525_task.md",".md","5227","5.10 KB","2026-05-25 01:25:35"
"40_金融与回测","gmgn_lana_trendquality_round4_20260525_task.md","E:\临时项目\gmgn_lana_trendquality_round4_20260525_task.md",".md","5293","5.17 KB","2026-05-25 01:13:09"
"50_文档与资料处理","human-dynamics-casebook.zip","E:\临时项目\human-dynamics-casebook.zip",".zip","794326","775.71 KB","2026-04-29 22:43:47"
"20_内容平台项目","huobao-drama-master.zip","E:\临时项目\huobao-drama-master.zip",".zip","649342","634.12 KB","2026-05-20 01:25:17"
"50_文档与资料处理","inspect_docx_course.py","E:\临时项目\inspect_docx_course.py",".py","1197","1.17 KB","2026-04-29 01:38:55"
"70_脚本与单文件工具","inspect_live_docs.py","E:\临时项目\inspect_live_docs.py",".py","888","888 B","2026-04-30 02:31:26"
"90_备份临时与样例","interpersonal-risk-analysis.zip","E:\临时项目\interpersonal-risk-analysis.zip",".zip","3495","3.41 KB","2026-04-29 22:43:47"
"70_脚本与单文件工具","light-response-page.min.js","E:\临时项目\light-response-page.min.js",".js","527595","515.23 KB","2026-04-22 00:41:40"
"80_散落文档与数据","live_doc_classification.json","E:\临时项目\live_doc_classification.json",".json","255680","249.69 KB","2026-04-30 02:32:49"
"70_脚本与单文件工具","lrp_prefetch.js","E:\临时项目\lrp_prefetch.js",".js","10888","10.63 KB","2026-04-22 00:42:09"
"70_脚本与单文件工具","ls-response.js","E:\临时项目\ls-response.js",".js","36204","35.36 KB","2026-04-22 00:41:40"
"50_文档与资料处理","merge_project_mds.py","E:\临时项目\merge_project_mds.py",".py","2327","2.27 KB","2026-04-16 12:40:28"
"50_文档与资料处理","ocr_pdf_resume.py","E:\临时项目\ocr_pdf_resume.py",".py","2823","2.76 KB","2026-05-04 00:54:39"
"50_文档与资料处理","office_form.html","E:\临时项目\office_form.html",".html","66821","65.25 KB","2026-04-22 00:41:03"
"10_工具与运行环境","openclaw-deployment-log-20260426.md","E:\临时项目\openclaw-deployment-log-20260426.md",".md","27261","26.62 KB","2026-04-27 00:14:23"
"10_工具与运行环境","openclaw-deployment-log-LATEST.md","E:\临时项目\openclaw-deployment-log-LATEST.md",".md","46265","45.18 KB","2026-04-29 15:17:35"
"30_AI与知识项目","personal-business-system-knowledge.tar.gz","E:\临时项目\personal-business-system-knowledge.tar.gz",".gz","13298","12.99 KB","2026-04-30 02:18:15"
"10_工具与运行环境","personal-business-system-skill.tar.gz","E:\临时项目\personal-business-system-skill.tar.gz",".gz","3897","3.81 KB","2026-04-30 02:18:14"
"10_工具与运行环境","qclaw_backup_20260421_203526.zip","E:\临时项目\qclaw_backup_20260421_203526.zip",".zip","124672328","118.90 MB","2026-04-21 20:39:02"
"10_工具与运行环境","qclaw_extracted_skills.tar.gz","E:\临时项目\qclaw_extracted_skills.tar.gz",".gz","19037301","18.16 MB","2026-04-26 01:40:19"
"10_工具与运行环境","qingshang-skills.zip","E:\临时项目\qingshang-skills.zip",".zip","3486","3.40 KB","2026-04-29 22:55:57"
"30_AI与知识项目","rebuild_rr_repair_report.py","E:\临时项目\rebuild_rr_repair_report.py",".py","15455","15.09 KB","2026-05-22 16:51:21"
"70_脚本与单文件工具","rename_c01_code_names.ps1","E:\临时项目\rename_c01_code_names.ps1",".ps1","5406","5.28 KB","2026-05-06 13:30:10"
"40_金融与回测","RUN_CRYPTO_BACKTEST_NOW.md","E:\临时项目\RUN_CRYPTO_BACKTEST_NOW.md",".md","1254","1.22 KB","2026-05-25 00:01:22"
"30_AI与知识项目","Selected-Works-of-MaoTseTung-main.zip","E:\临时项目\Selected-Works-of-MaoTseTung-main.zip",".zip","64685309","61.69 MB","2026-04-29 23:32:25"
"20_内容平台项目","start_wechat_article_exporter.ps1","E:\临时项目\start_wechat_article_exporter.ps1",".ps1","266","266 B","2026-04-20 01:28:43"
"90_备份临时与样例","test_cn.py","E:\临时项目\test_cn.py",".py","21","21 B","2026-04-30 02:31:09"
"10_工具与运行环境","toolbox-manifest.json","E:\临时项目\toolbox-manifest.json",".json","34417","33.61 KB","2026-05-14 23:38:26"
"50_文档与资料处理","transcribe_videos_to_md.py","E:\临时项目\transcribe_videos_to_md.py",".py","5855","5.72 KB","2026-04-29 00:09:35"
"20_内容平台项目","wechat_article_exporter_local.md","E:\临时项目\wechat_article_exporter_local.md",".md","616","616 B","2026-04-20 01:28:43"
"20_内容平台项目","wechat-article-exporter-master.zip","E:\临时项目\wechat-article-exporter-master.zip",".zip","15256882","14.55 MB","2026-04-20 01:04:12"
"10_工具与运行环境","xhs_after_click_body.txt","E:\临时项目\xhs_after_click_body.txt",".txt","3558","3.47 KB","2026-04-29 13:04:48"
"10_工具与运行环境","xhs_after_click_responses.json","E:\临时项目\xhs_after_click_responses.json",".json","10218","9.98 KB","2026-04-29 13:04:48"
"20_内容平台项目","xhs_note_browser_body.txt","E:\临时项目\xhs_note_browser_body.txt",".txt","3004","2.93 KB","2026-04-29 13:03:35"
"20_内容平台项目","xhs_note_browser_responses.json","E:\临时项目\xhs_note_browser_responses.json",".json","11046","10.79 KB","2026-04-29 13:03:35"
"20_内容平台项目","xhs_note_test.html","E:\临时项目\xhs_note_test.html",".html","475391","464.25 KB","2026-04-29 13:02:45"
"20_内容平台项目","xhs_profile_browser_anchors.json","E:\临时项目\xhs_profile_browser_anchors.json",".json","16832","16.44 KB","2026-04-29 13:04:04"
"20_内容平台项目","xhs_profile_browser_responses.json","E:\临时项目\xhs_profile_browser_responses.json",".json","2","2 B","2026-04-29 13:04:04"
"20_内容平台项目","xhs-exporter-mvp-开发交接文档.md","E:\临时项目\xhs-exporter-mvp-开发交接文档.md",".md","8654","8.45 KB","2026-04-29 16:44:39"
"20_内容平台项目","xiaohongshu_notes.csv","E:\临时项目\xiaohongshu_notes.csv",".csv","10346","10.10 KB","2026-04-29 12:58:53"
"20_内容平台项目","xiaohongshu_notes.json","E:\临时项目\xiaohongshu_notes.json",".json","17257","16.85 KB","2026-04-29 12:58:53"
"20_内容平台项目","xiaohongshu_notes.txt","E:\临时项目\xiaohongshu_notes.txt",".txt","1975","1.93 KB","2026-04-29 12:59:11"
"20_内容平台项目","xiaohongshu_profile.html","E:\临时项目\xiaohongshu_profile.html",".html","604404","590.24 KB","2026-04-29 12:58:53"
"50_文档与资料处理","xuehui-clean-md.zip","E:\临时项目\xuehui-clean-md.zip",".zip","526613","514.27 KB","2026-04-29 02:14:28"
"50_文档与资料处理","xuehui-clean-md-utf8.zip","E:\临时项目\xuehui-clean-md-utf8.zip",".zip","526613","514.27 KB","2026-04-29 02:15:23"
"50_文档与资料处理","zzl_docx_extract_preview.jsonl","E:\临时项目\zzl_docx_extract_preview.jsonl",".jsonl","449541","439.00 KB","2026-04-30 08:42:43"
"80_散落文档与数据","zzl_unique_full.jsonl","E:\临时项目\zzl_unique_full.jsonl",".jsonl","864985","844.71 KB","2026-04-30 08:43:28"
"50_文档与资料处理","个人工具箱工作台-OpenDesign三类样例模板规范.md","E:\临时项目\个人工具箱工作台-OpenDesign三类样例模板规范.md",".md","3006","2.94 KB","2026-05-17 00:42:37"
"50_文档与资料处理","个人工具箱工作台-OpenDesign样例02终审交接.md","E:\临时项目\个人工具箱工作台-OpenDesign样例02终审交接.md",".md","5890","5.75 KB","2026-05-16 23:20:04"
"50_文档与资料处理","个人工具箱工作台-OpenDesign样例03终审交接.md","E:\临时项目\个人工具箱工作台-OpenDesign样例03终审交接.md",".md","5643","5.51 KB","2026-05-17 00:18:55"
"50_文档与资料处理","个人工具箱工作台-OpenDesign样例04终审交接.md","E:\临时项目\个人工具箱工作台-OpenDesign样例04终审交接.md",".md","5112","4.99 KB","2026-05-18 00:18:43"
"50_文档与资料处理","个人工具箱工作台-OpenDesign样例登记表.md","E:\临时项目\个人工具箱工作台-OpenDesign样例登记表.md",".md","4736","4.63 KB","2026-05-18 00:49:20"
"50_文档与资料处理","个人工具箱工作台-OpenDesign样例终审交接.md","E:\临时项目\个人工具箱工作台-OpenDesign样例终审交接.md",".md","5116","5.00 KB","2026-05-15 15:39:59"
"50_文档与资料处理","个人工具箱工作台-OpenDesign终审Checklist标准.md","E:\临时项目\个人工具箱工作台-OpenDesign终审Checklist标准.md",".md","2321","2.27 KB","2026-05-16 23:39:52"
"50_文档与资料处理","个人工具箱工作台-v0.3样例入口终审交接.md","E:\临时项目\个人工具箱工作台-v0.3样例入口终审交接.md",".md","2331","2.28 KB","2026-05-18 00:53:28"
"50_文档与资料处理","个人工具箱工作台-架构文档.md","E:\临时项目\个人工具箱工作台-架构文档.md",".md","10197","9.96 KB","2026-05-14 18:07:09"
"50_文档与资料处理","个人工具箱工作台-审核机制.md","E:\临时项目\个人工具箱工作台-审核机制.md",".md","9106","8.89 KB","2026-05-14 18:07:09"
"50_文档与资料处理","个人工具箱工作台-审核启动交接.md","E:\临时项目\个人工具箱工作台-审核启动交接.md",".md","3603","3.52 KB","2026-05-14 22:30:29"
"50_文档与资料处理","个人工具箱工作台-审核线程启动提示词.md","E:\临时项目\个人工具箱工作台-审核线程启动提示词.md",".md","2096","2.05 KB","2026-05-14 23:20:43"
"60_图像与视觉产物","批量加水印.bat","E:\临时项目\批量加水印.bat",".bat","23335","22.79 KB","2026-05-08 11:48:42"
"30_AI与知识项目","启动-PromptOptimizer.ps1","E:\临时项目\启动-PromptOptimizer.ps1",".ps1","121","121 B","2026-04-28 21:10:19"
"50_文档与资料处理","水印工具包-归档日志.md","E:\临时项目\水印工具包-归档日志.md",".md","2447","2.39 KB","2026-05-08 12:06:17"
"20_内容平台项目","小红书笔记导出插件立项书.md","E:\临时项目\小红书笔记导出插件立项书.md",".md","13326","13.01 KB","2026-04-29 14:40:04"
"50_文档与资料处理","新建 文本文档.txt","E:\临时项目\新建 文本文档.txt",".txt","0","0 B","2026-04-22 00:50:07"
"30_AI与知识项目","知识系统_待清洗清单.json","E:\临时项目\知识系统_待清洗清单.json",".json","253192","247.26 KB","2026-04-29 17:42:38"
